Country/Region,Material ID,Material Category,Material Subtype,Per Unit,kg CO2e,EF Source,EF Type,Type Rationale,Source Dataset Name,Source UUID / Link,Use Case,,Ecoinvent  Rationale,,,,
China,MAT-Glass-0012,Glass,Insulated Glass Units (IGUs),kg,1.61,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Insulated glass,EPD_InsulatedGlassUnits_Global_S-P-04659_2021-06_to_2026-06.pdf,"Insulated Glass Units (IGUs)

✅ Suitable for interior partitions in climate-controlled environments where thermal insulation, noise reduction, and energy efficiency are priorities. Ideal for office spaces, meeting rooms, and other areas requiring controlled acoustics and temperature. Catering equipment glazing, such as display cases and refrigerated units, where maintaining temperature and energy efficiency is crucial. 
❌ Not suitable for furniture applications due to the fragility and weight of IGUs, which can lead to safety hazards and impracticality in handling. Areas with high mechanical stress or frequent handling, such as doors or high-traffic partitions, due to limited impact resistance and potential for breakage.",,,"One square meter (1m2) of insulated glass pane.

The LCA is conducted based on the worst-case results of all the insulated glass covered by the EPD.glass-49 mm)

(2,200 kg/m3)",107.8,,
Brazil,MAT-Glass-0013,Glass,Colored Glass,kg,0.32,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Clear and colored flat glass,EPD_ColoredGlass_Turkey_S-P-06987_2021-03_to_2026-03.pdf,"Colored Glass

✅ Suitable for decorative interior panels offering aesthetic appeal and can enhance the visual interest of spaces with its variety of colors and light transmittance. Ideal for non-structural elements such as tabletops or cabinet doors where visual appeal is prioritized. Provides an elegant and hygienic surface for showcasing food items, benefiting from its ease of cleaning and ability to highlight contents through light transmission. 
❌ Not suitable for load-bearing furniture components due to its brittleness, glass should not be used in structural parts that require strength and durability. Avoid using in locations prone to heavy use or potential impact, as glass can shatter under stress, posing safety risks. Unless specifically treated or designed for exterior use, glass may not withstand environmental factors such as temperature fluctuations and UV exposure.",,,"1 m2 of FLAT GLASS to 3 mm to 19 mm. (11mm considered)
(2,200 kg/m3)",24.2,,
Turkey,MAT-Glass-0014,Glass,Mirrored Glass,kg,1.21,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Mirror,EPD_MirroredGlass_Global_S-P-04814_2022-10_to_2027-09.pdf,"Mirrored Glass

✅ Suitable for use in bathrooms, bedrooms, and retail spaces due to its high reflectivity and moisture resistance. The copper/lead-free composition makes it a safer choice for indoor environments. Can be used in decorative furniture elements such as mirrored tabletops, cabinet doors, and wall panels where aesthetic appeal is prioritized. 
❌ Not suitable for outdoor applications due to its fragility and lack of impact resistance, which can lead to damage from environmental factors. Unsuitable for structural applications as it does not provide the necessary strength or support. Not appropriate for catering equipment due to its fragility and potential safety hazards in high-traffic or high-impact environments.",,,"1 m2

of Sisecam Mirror with 9.62 kg/m2",,,
Rest-of-World,MAT-Fab-0001,Fabric,Polyester,kg,5.11,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, polyester",https://ecoquery.ecoinvent.org/3.10.1/apos/dataset/20467/documentation,"Polyester

✅ Suitable for upholstery, drapery, and decorative textiles in furniture and interior fit-outs due to its durability, wrinkle resistance, and cost-effectiveness. It is ideal for environments where low maintenance and longevity are priorities. 
❌ Not suitable for applications where breathability is essential, such as seating in hot climates or areas requiring high comfort levels. Additionally, polyester is not recommended for projects prioritizing sustainability, as it is non-renewable, has high microplastic shedding, and lacks biodegradability. For catering equipment, polyester may be used in tablecloths and decorative elements but should be avoided in items requiring direct food contact or high heat resistance.",,This product represents a synthetic polyster fibre made through melt spinning process. It is unprocessed (without bleaching or dyeing) and can be used for the manufacturing of yarns.,,,,
Rest-of-World,MAT-Fab-0002,Fabric,Nylon,kg,8.65,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6-6,https://ecoquery.ecoinvent.org/3.10.1/cutoff/dataset/20105/documentation,"Nylon

✅ Suitable for furniture and catering equipment applications, such as handles, drawer runners, and mechanical fittings, due to its high strength, excellent wear resistance, and thermal stability. These properties ensure durability and performance in high-use environments. Can be used in non-visible structural components where strength and durability are required, such as in joint reinforcements or support brackets.
❌ Not suitable for visible or decorative elements in interior fit-outs due to its lack of aesthetic appeal and limited design flexibility. Unsuitable for projects prioritizing sustainability, as it is derived from fossil fuels, is non-biodegradable, and typically lacks recycled content.",,,,,,
Europe,MAT-Fab-0003,Fabric,Nylon,kg,8.58,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,market for nylon 6-6,https://ecoquery.ecoinvent.org/3.10.1/cutoff/dataset/21959/documentation,"Nylon

✅ Suitable for furniture and catering equipment applications, such as handles, drawer runners, and mechanical fittings, due to its high strength, excellent wear resistance, and thermal stability. These properties ensure durability and performance in high-use environments. Can be used in non-visible structural components where strength and durability are required, such as in joint reinforcements or support brackets.
❌ Not suitable for visible or decorative elements in interior fit-outs due to its lack of aesthetic appeal and limited design flexibility. Unsuitable for projects prioritizing sustainability, as it is derived from fossil fuels, is non-biodegradable, and typically lacks recycled content.",,,,,,
China,MAT-Fab-0004,Fabric,Polyester,kg,13.02,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Dope Dyed Polyester Knitted Fabric,EPD-IES-0001440 Dope Dyed Polyester Knitted Fabric 102024 102029.pdf,"Polyester

✅ Suitable for upholstery and soft furnishings in commercial and hospitality settings where durability and color fastness are priorities. The dope dyeing process reduces water usage and environmental impact, making it a more sustainable choice for high-traffic areas. Applications where cost-effectiveness and ease of maintenance are important, such as in budget-friendly furniture, interior fit-outs, and catering equipment where easy cleaning and resilience are needed.
❌ Not suitable for high-end interiors or luxury furniture where a natural feel and breathability are desired, as the synthetic nature of polyester may not meet aesthetic and tactile expectations. Environments prioritizing sustainability through biodegradability, as polyester is not biodegradable and may not align with eco-friendly goals in certain projects, including catering equipment where natural materials are preferred for sustainability.",,,"Declared unit: 1 m2 of knitted dope dyed fabric and its packaging (the area of the packaging is not
included in the 1 m2 ).
Mass per unit area (g/m2) 134
7.46",,,
Global,MAT-Fab-0005,Fabric,Leather (Genuine),kg,12.76,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,PURE-ANILINE/NUBUCK LEATHER,EPD S-P-07940 Pure Aniline Nuback Leather 12 2022_122027.pdf,"Leather (Genuine)

✅ Suitable for high-end furniture and luxury interior applications where aesthetics and comfort are prioritized, such as executive office chairs, luxury sofas, and decorative wall panels. The material's soft texture and natural appearance enhance the visual and tactile experience in low-traffic, controlled environments. 
❌ Not suitable for high-traffic areas or environments prone to spills and stains, such as public waiting areas, restaurants, or cafes, due to its low stain resistance and high maintenance requirements. Catering equipment or any food-related applications, as the material is sensitive to moisture and wear, which can lead to deterioration and hygiene concerns.",,,1.58 kg/m2,,,
Italy-Europe-Central America,MAT-Fab-0006,Fabric,Faux Leather (PU),kg,10.10,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,synthetic leathers through the coating of PVC and PU,EPD S-P-02294 Plastic Coated Fabrics for the Automotive Sector 11 2020_102025.pdf,"Faux Leather (PU)

✅ Suitable for furniture and interior fit-outs where cost-effectiveness, durability, water resistance, and a leather-like appearance are prioritized. Ideal for settings where easy maintenance is crucial, such as in high-traffic areas or commercial spaces. 
❌ Not suitable for applications where high breathability is essential, such as seating that requires prolonged comfort. Also not recommended for projects with a strong focus on sustainability due to the higher emissions associated with production and the material's limited biodegradability. Additionally, not ideal for catering equipment that requires high heat resistance or food safety compliance.",,,"ECOCOSTO 199-10 HTG 13-10 referred
1kg per 1 m2
ECOCOSTO 199-10 HTG 13-10 is most suitable for Faux Leather (PU) due to its likely PU coating and textured finish, while ECOCOSTO 199-16 AC 15-10 (likely acrylic-coated) and ALOCOSTO 017-18 CA 12-10 (possibly non-PU or cellulose-based) are less suitable.",,,
Germany,MAT-Fab-0007,Fabric,Vinyl,kg,2.29,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Vinyl wallcoverings on woven textile backing,EPD-IGI-20230434-IBG1-EN Vinyl wallcoverings on non-woven backing 012024_012029.pdf,"Vinyl

✅ Suitable for interior fit-outs where durability, washability, and ease of maintenance are priorities. Vinyl wallcoverings offer a wide range of aesthetic options and are cost-effective, making them ideal for commercial spaces such as offices, hotels, and healthcare facilities where frequent cleaning is necessary. Environments that require moderate resistance to wear and tear, such as high-traffic areas, due to the robust nature of vinyl. 
❌ Not suitable for projects with a strong focus on sustainability and environmental impact, as vinyl contains PVC, which can lead to higher emissions during production and poses challenges in terms of end-of-life disposal and recycling. Spaces where air quality is a critical concern, as vinyl can off-gas volatile organic compounds (VOCs), which may affect indoor air quality. Applications in catering equipment or furniture where direct contact with food or high temperatures is expected, as vinyl may not withstand such conditions effectively.",,,"Declared unit 1 m2
Grammage 0.223 kg/m2",,,
USA,MAT-Fab-0008,Fabric,Acrylic,kg,7.96,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"Acrylic upholstery fabrics, 0.73 kg/m2, Retreat, Stripe It, and Vice Versa, KnollTextiles",EPD10831 Acrylic upholstery fabrics 2023.pdf,"Acrylic

✅ Suitable for furniture upholstery in residential and commercial settings where durability, colorfastness, and stain resistance are priorities. Acrylic fabrics are ideal for high-traffic areas due to their moderate cost and ease of maintenance. Interior fit-outs that require vibrant colors and patterns, as acrylic maintains its appearance over time and is resistant to fading. Catering equipment covers or accessories where ease of cleaning and resistance to spills are important. 
❌ Not suitable for applications where high environmental performance is a priority, as acrylic is a synthetic fiber with emissions during production and limited biodegradability. Projects aiming for sustainable certifications or those with a focus on natural or recyclable materials, as acrylic does not align with these goals. Environments with high exposure to heat or open flames, as acrylic can be flammable and may not meet fire safety standards without additional treatment.",,,"Global Warming Potential (A1-A3): 5.73 kg CO2e/m2
Technical specification: 0.73 kg/m2",,,
Italy,MAT-Fab-0009,Fabric,Wool,kg,32.87,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Woven fabric with fibre content,S-P-09428 Woven fabric with fibre content 062023-062028.pdf,"Wool

✅ Suitable for upholstery and interior textiles in residential and low-traffic commercial settings where natural fiber aesthetics and good thermal insulation are desired. Applications where biodegradability and moderate environmental impact are priorities, such as eco-friendly furniture and interior fit-outs. 
❌ Not suitable for high-moisture environments, such as bathrooms or kitchens, due to wool’s susceptibility to shrinkage and potential for mold and mildew. High-traffic or heavy-use areas, such as public seating or commercial catering equipment, where durability and low maintenance are critical, as wool may require more frequent cleaning and care compared to synthetic alternatives.",,,435 g/m2,,,
Global,MAT-Fab-0010,Fabric,Cotton,kg,11.12,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for textile, woven cotton",http://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6756/documentation,"Cotton

✅ Suitable for furniture and interior applications such as soft furnishings and upholstery due to its natural origin, breathability, and comfort. Ideal for environments where comfort and aesthetics are prioritized, such as cushions and curtains. In catering, it is suitable for textiles like table linens in dining areas.
❌ Not suitable for high-moisture or industrial kitchen environments, as it absorbs liquids easily, is prone to staining, and may degrade faster without chemical treatment. In such environments, materials with higher resistance to moisture and stains, such as synthetic fibers or treated fabrics, are recommended.",,,,,,
Global,MAT-Fab-0011,Fabric,Rayon (Viscose),kg,2.19,Ecoinvent,Direct,A specific emission factor was applied based on a direct match to the selected material.,"market for fibre, viscose",http://ecoquery.ecoinvent.org/3.11/cutoff/dataset/3368/impact_assessment,"Rayon (Viscose)

✅ Suitable for furniture and interior fit-outs, particularly for curtains, cushion covers, and soft furnishings in residential and low-traffic commercial settings where drape, softness, and a natural look are desired. Its cellulose-based origin provides a textile feel that is appealing for decorative purposes.
❌ Not suitable for catering equipment or high-humidity environments, such as commercial kitchens, or for heavy-use areas. Rayon has low moisture resistance and poor durability, making it unsuitable for areas where it may be exposed to water or frequent handling. Additionally, the production process involves toxic chemicals, which may not align with sustainability goals in certain projects.",,,,,,
Global,MAT-Fab-0012,Fabric,Linen,kg,11.12,Ecoinvent,Proxy,A specific emission factor was applied based on a direct match to the selected material.,"market for textile, woven cotton",http://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6756/documentation,"Linen

✅ Suitable for upholstery and decorative textiles in low-traffic areas where aesthetics and breathability are prioritized, such as residential living rooms or boutique hotel lounges. Interior fit-outs that emphasize natural aesthetics and sustainability, like wall hangings, curtains, and cushions in eco-friendly spaces. Catering equipment applications where the fabric is used for decorative purposes, such as table runners or napkins in settings that are not exposed to high moisture or frequent washing.
❌ Not suitable for high-durability applications such as seating in high-traffic commercial areas or public spaces, due to its lower abrasion resistance. Moisture-prone environments like bathrooms or outdoor settings, where the potential for mildew and degradation is higher. Catering equipment that requires frequent washing or exposure to moisture, such as tablecloths in busy restaurants or bars.",,,,,,
USA,MAT-Fab-0013,Fabric,Velvet,kg,418.56,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,"Crepe, Dobby, Jacquard, Knit, Plain Weave, Velvet","EPD 10832 Crepe, Dobby, Jacquard, Knit, Plain Weave, Velvet 012023 012029.pdf","Velvet

✅ Suitable for upholstery in low-traffic areas such as formal living rooms, bedrooms, and decorative furniture pieces where aesthetic appeal and comfort are prioritized. Decorative interior applications like curtains, cushions, and wall hangings where its luxurious texture and appearance can be showcased. 
❌ Not suitable for high-moisture environments such as bathrooms or kitchens, as velvet can absorb moisture and may be prone to mold and mildew. High-wear areas like dining chairs, office furniture, or commercial settings where frequent use and cleaning are required, due to its potential durability issues and higher maintenance needs. Catering equipment or surfaces that require regular cleaning and resistance to spills and stains, as velvet is not easy to clean and maintain in such contexts.",,,0.4kg/m2 od declared unit,,,
Sweden,MAT-Fab-0014,Fabric,Tweed,kg,27.25,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Trident Tweed,EPD-IES-0005375 EPD 10832 Trident Tweed 122024 122029.pdf,"Tweed

✅ Suitable for furniture and interior applications in residential and low-traffic commercial settings due to its durable weave, aesthetic texture, and moderate cost. Ideal for use in areas where a classic and sophisticated look is desired, such as living rooms, lounges, and office waiting areas.
❌ Not suitable for catering equipment or environments with high humidity, such as bathrooms or kitchens, or for high-traffic or heavy-soiling areas, like restaurants or public transport seating, due to its fabric maintenance requirements and potential for wear and staining.",,,"Declared Unit: 1m2 of Trident Tweed
0.04kg",,,
USA,MAT-Fab-0015,Fabric,Microfiber,kg,3.33,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Monofilament Microfiber,EPD 732 Monofilament Microfiber 062024 062029.pdf,"Microfiber

✅ Suitable for upholstery and interior textiles in furniture and interior fit-outs due to its high durability, stain resistance, and ease of cleaning. These properties make it ideal for high-traffic areas and environments where maintenance and longevity are priorities. Applications where synthetic materials are preferred for their performance characteristics, such as in commercial settings or areas prone to spills and stains. Also suitable for catering equipment applications where easy-to-clean and durable materials are required, such as in tablecloths or cleaning cloths.
❌ Not suitable for applications requiring natural fibers, such as in settings where sustainability and low environmental impact are prioritized, due to the synthetic nature of microfiber and its higher embodied energy. Environments where biodegradability and minimal environmental emissions are critical, as synthetic microfibers can contribute to microplastic pollution and have a higher environmental footprint compared to natural alternatives. Not ideal for catering equipment where natural, biodegradable materials are preferred to minimize environmental impact.",,,1 kg of Monofilament Microfibers,,,
Sweden,MAT-Fab-0016,Fabric,Canvas,kg,6.27,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,"Stretched canvas (excluding installation accessories), 0.4 mm, 0.26 kg/m2, toile 495D, ECOPHON SAINT-GOBAIN",6675cbdbcc3b7a04e79df960 Stretched canvas 2024.pdf,"Canvas

✅ Suitable for decorative interior applications such as wall art, acoustic panels, and other non-structural elements where aesthetic appeal and lightweight properties are prioritized. Ideal for environments where flexibility and texture are desired, such as galleries, showrooms, and residential spaces. Canvas can also be used in furniture applications for decorative purposes, such as upholstery on low-wear furniture pieces, and in catering equipment for decorative coverings or displays that do not require durability.
❌ Not suitable for high-wear areas like seating surfaces, flooring, or any application requiring significant durability. Avoid use in moisture-prone environments such as kitchens, bathrooms, or outdoor settings, as the material lacks water resistance and may degrade over time when exposed to humidity or direct contact with water. Canvas is not recommended for catering equipment that involves direct contact with food or requires frequent cleaning, as it is not water-resistant and may harbor bacteria.",,,"Global Warming Potential (A1-A3):
1.63 kg CO2e/m2
Technical specification:
0.4 mm, 0.26 kg/m2",,,
Global,MAT-Leather-0001,Leather,Genuine Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Genuine Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, luxury, and comfort are prioritized. Its natural look and feel make it ideal for premium seating, upholstery, and decorative elements in low-traffic, controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture, frequent spills, or heavy use due to its susceptibility to staining, fading, and higher maintenance requirements. Avoid using in kitchens, dining areas, or outdoor settings where durability and ease of cleaning are critical.",,,,,,
Global,MAT-Leather-0002,Leather,Full-Grain Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Full-Grain Leather

✅  Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Its natural appearance and ability to develop a patina over time make it ideal for premium settings with controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, such as kitchens or dining areas, due to its susceptibility to staining, water damage, and the need for regular maintenance to preserve its quality.",,,,,,
Global,MAT-Leather-0003,Leather,Top-Grain Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Top-Grain Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Its natural appearance and comfort make it ideal for low-traffic areas or spaces where it can be maintained regularly. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Additionally, not ideal for high-traffic areas or commercial settings where durability against wear and tear is critical.",,,,,,
Global,MAT-Leather-0004,Leather,Bonded Leather,kg,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,S-P-07940 Pure-Anilin_Nubuck Leather 12 2022 122027.pdf,"Bonded Leather

✅ Suitable for furniture and interior fit-outs where cost-effectiveness and a leather-like appearance are desired, but not for high-end applications due to its lower durability and natural aesthetics compared to pure-aniline leather. 
❌ Not suitable for catering equipment or high-moisture environments due to its susceptibility to peeling, staining, and higher maintenance requirements.",,,,,,
Global,MAT-Leather-0005,Leather,Faux Leather (PU Leather),kg,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,S-P-07940 Pure-Anilin_Nubuck Leather 12 2022 122027.pdf,"Faux Leather (PU Leather)

✅ Suitable for furniture and interior fit-outs where a leather-like appearance is desired without the high cost and maintenance of genuine leather. It offers good durability and is easier to clean, making it a practical choice for residential and commercial settings. 
❌ Not suitable for catering equipment or environments with high moisture or heat exposure, as it can degrade over time and is prone to cracking and peeling under such conditions.",,,,,,
Global,MAT-Leather-0006,Leather,Vinyl Leather,kg,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,S-P-07940 Pure-Anilin_Nubuck Leather 12 2022 122027.pdf,"Vinyl Leather

✅ Suitable for furniture and interior fit-outs where durability and ease of maintenance are prioritized, such as in commercial settings or areas with high foot traffic. Vinyl leather offers a wide range of colors and patterns, making it versatile for various design aesthetics. 
❌ Not suitable for high-end furniture or interiors where natural aesthetics and softness are prioritized, as vinyl leather lacks the luxurious feel and appearance of genuine leather. Additionally, it is not ideal for catering equipment or high-moisture environments due to potential issues with heat and moisture exposure, which can lead to degradation over time.",,,,,,
Sweden,MAT-Leather-0007,Leather,Aniline Leather,kg,12.76,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,PURE-ANILINE,S-P-07940 Pure-Anilin_Nubuck Leather 12 2022 122027.pdf,"Aniline Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics and comfort are prioritized, such as luxury sofas, chairs, and decorative wall panels, due to its natural beauty, softness, and ability to develop a unique patina over time. 
❌ Not suitable for catering equipment or environments with high moisture or heavy use, such as kitchens, dining areas, or outdoor settings, due to its susceptibility to staining, fading, and higher maintenance requirements.",,,,,,
Global,MAT-Leather-0008,Leather,Semi-Aniline Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Semi-Aniline Leather

✅ Suitable for high-end furniture and interior fit-outs due to its natural aesthetics, softness, and moderate durability. It offers a balance between the natural look of pure aniline leather and the protective qualities of pigmented leather, making it ideal for luxury settings where appearance is prioritized. 
❌ Not suitable for catering equipment or environments with high moisture or heavy use due to its susceptibility to staining, scratching, and higher maintenance requirements. It is not recommended for areas where durability and ease of cleaning are critical.",,,,,,
Global,MAT-Leather-0009,Leather,Pigmented Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Pigmented Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas or spaces where the natural beauty of the leather can be showcased without excessive wear. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Not recommended for high-traffic areas or commercial settings where durability and ease of cleaning are critical.",,,,,,
Global,MAT-Leather-0010,Leather,Nubuck Leather,kg,12.76,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Referred PURE-ANILINE,S-P-07940 Pure-Anilin_Nubuck Leather 12 2022 122027.pdf,"Nubuck Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics and comfort are prioritized. Nubuck leather offers a luxurious appearance and a soft touch, making it ideal for premium seating, upholstery, and decorative elements in low-traffic, controlled environments. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills. Nubuck leather is prone to staining and requires careful maintenance, making it unsuitable for areas where durability and ease of cleaning are critical, such as kitchens, dining areas, or outdoor settings.",,,,,,
Global,MAT-Leather-0011,Leather,Suede Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Suede Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas where the risk of staining and wear is minimal. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, such as kitchens or dining areas, due to its susceptibility to staining, water damage, and higher maintenance requirements.",,,,,,
Global,MAT-Leather-0012,Leather,Patent Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Patent Leather

✅ Suitable for high-end furniture and interior fit-outs where a glossy, luxurious finish is desired. It offers a distinctive aesthetic appeal and is relatively easy to clean, making it ideal for decorative elements and low-traffic areas. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as patent leather can be prone to cracking and is not as durable as other materials in high-wear or high-moisture conditions. Additionally, it is not recommended for areas requiring high durability or exposure to direct sunlight, as it can fade or become damaged over time.",,,,,,
Sweden,MAT-Leather-0013,Leather,Recycled Leather,kg,4.24,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,Eco Recycled Leather Yarn,S-P-05595 Eco Recycled Leather Yarn 032022 022027.pdf,"Recycled Leather

✅ Suitable for sustainable furniture and interior textiles, such as upholstery and decorative elements, due to its reduced environmental impact, aesthetic appeal, and good durability. 
❌ Not suitable for catering equipment or high-wear applications where hygiene, moisture resistance, and frequent cleaning are critical, such as kitchen surfaces, dining tables, or seating in high-traffic areas.",,,Functional unit / declared unit: 1kg of ERLY,,,
Global,MAT-Leather-0014,Leather,Oiled Leather,kg,22.00,Journal Paper,Proxy,An emission factor of a similar material (Cow Leather) was used as a proxy where a direct emission factor for the specified material could not be identified to date,Per reviewed Joural Paper (Springer Nature-Discover Sustainability),"Brugnoli, F., Sena, K., Zugno, L. et al. A global study on the Life Cycle Assessment (LCA) of the modern cow leather industry. Discov Sustain 6, 80 (2025). httpsdoi.org10.1007s43621-025-00798-.pdf","Oiled Leather

✅ Suitable for high-end furniture and interior fit-outs where aesthetics, softness, and a luxurious feel are prioritized. Ideal for low-traffic areas or spaces where the leather can be maintained regularly to preserve its appearance and durability. 
❌ Not suitable for catering equipment or environments with high moisture or potential for spills, as it is prone to staining and requires significant maintenance. Not recommended for high-traffic areas or commercial settings where durability and ease of cleaning are critical.",,,,,,
Germany,MAT-Laminat-0001,Laminate,High-Pressure Laminate (HPL),kg,1.36,EPD,Direct,A specific emission factor was applied based on a direct match to the selected material.,HPL (Dekorative High Pressure Laminates),EPD-ICL-20220238-CBE1-EN HPL (Dekorative High Pressure Laminates) 112022 112027.pdf,"High-Pressure Laminate (HPL)

✅ Suitable for interior fit-outs and furniture, which are highly durable, scratch-resistant, and offer a wide range of aesthetic options, making it ideal for interior applications where visual appeal and longevity are important. It is also cost-effective, which is beneficial for large-scale projects.
❌ Not suitable for catering equipment or environments where it will be exposed to extreme heat or moisture for extended periods. These conditions can lead to delamination and compromise the material's integrity, posing hygiene risks. Therefore, it is unsuitable for surfaces in kitchens or food preparation areas that require frequent cleaning and exposure to high temperatures.",,,,,,
Germany,MAT-Laminat-0002,Laminate,Low-Pressure Laminate (LPL),kg,1.36,EPD,Proxy,An emission factor of a similar material was used as a proxy where a direct emission factor for the specified material could not be identified to date,Reffered: High Pressure Laminates,EPD-ICL-20220238-CBE1-EN HPL (Dekorative High Pressure Laminates) 112022 112027.pdf,"Low-Pressure Laminate (LPL)

✅ Suitable for interior fit-outs and furniture applications where moderate durability and cost-effectiveness are prioritized. LPL offers a range of aesthetic options and is ideal for areas with low to moderate wear and tear. 
❌ Not suitable for catering equipment or environments exposed to extreme heat, moisture, or heavy use. LPL may delaminate under such conditions and does not meet the hygiene standards required for food-related applications.",,,,,,
