Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Rest-of-World,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Genuine Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Full-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Top-Grain Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Bonded Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Faux Leather (PU Leather),Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Vinyl Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Semi-Aniline Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Pigmented Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Nubuck Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.18,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
Poland,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.388,,,,,,,,
Spain,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.502,,,,,,,,
Taiwan,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.917,,,,,,,,
United States ,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.200,,,,,,,,
India,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,3.576,,,,,,,,
United Kingdom,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.698,,,,,,,,
Rest-of-World,Leather,Suede Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.561,,,,,,,,
,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,Whole process of cotton textile processing (kWh/kg),0.8,,The source provided kWh/kg of shoe pair manufacturing related energy,Master’s Thesis - Environmental impacts of shoe consumption 2015.pdf,Keep out of backend updates,1.99/0.8,2.4875,Shoe pair weight is taken from anoither source to derieve per kg electricity consumption of the leather shos manufacturing,"Master’s thesis in Industrial Ecology


",,,,
China,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,2.078,,,,,,,,
Vietnam,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.565,,,,,,,,
Global,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.684,,,,,,,,
Czech Republic,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.646,,,,,,,,
France,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,0.192,,,,,,,,
Netherlands,Leather,Patent Leather,Whole process,"Master’s thesis in Industrial Ecology


",Shoe manufacturng electricity consumption,,,,,,1.100,,,,,,,,
